SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS
168712,"1,2",I am a 64-year-old woman. I was born in California. I am a Financial manager. I made $37.5K last year. I studied Business Management and Administration in college.,I live with another female relative.,"We live in the Vallejo, California area. We live in a house built in the 1970s with 5 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,600 - 3,699; We also have a 2nd mortgage.",2: My other relatives is 67-year-old. She was born in California. She is a Administrative assistant. She made $1.5K last year.
378665,"1,2",I am a 64-year-old woman. I was born in Ohio. I am a Network and computer systems administrator. I made $43K last year.,I live with my male partner.,"We live in the Jacksonville, Florida area. We live in a house built around 1990 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,400 - 1,499.",2: My male partner is 65-year-old. He was born in Ohio. He works as a manager. He made $65K last year. He studied Accounting. he leaves for work at around 6:32 AM. It takes him about 15 minutes to get to work.
1070757,"1,2",I am a 75-year-old woman. I was born in Ohio. I am a Data entry keyer. I made $34.4K last year.,I live with my male roommate.,"We live in the Akron, Ohio area. We live in a house built before 1939 with 2 bedrooms. We own our home. our annual property taxes are $ 900 - 949.",2: My male roommate is 77-year-old. He has trouble with his vision. He was born in Ohio. He works as a Dentist. He made $20.4K last year. He studied Economics.
1211458,"1,2",I am a 63-year-old woman. I was born in South Carolina. I am a Atmospheric and space scientist. I made $150.6K last year. I studied Mathematics in college.,I live with my sister.,"We live in the Columbia, South Carolina area. We live in a house built in the 2000s with 4 bedrooms. We own our home. our annual property taxes are $6000 - 6999.","2: My sister is 64-year-old. She was born in South Carolina. she have been looking for work. She is a Tailor, dressmaker, and sewer. She made $7K last year."
154064,"1,2,3",I am a 48-year-old woman. I was born in Texas. I am a Door-to-door sales worker. I made $48K last year. I drive to work. I leave for work at around 6:32 AM. It takes me about 40 minutes to get to work.,I live with my son and another female relative.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a house built in the 1950s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,500 - 3,599.","2: My son is 19-year-old. He was born in California. he have been looking for work. He works as a Laborer and freight, stock, and material mover, hand. He made $220 last year. | 3: My other relatives is 51-year-old. She is a veteran. She was born in New Mexico. She is a Educational, guidance, and career counselor and advisor. She made $60K last year. she leaves for work at around 6:47 AM. It takes her about 8 minutes to get to work."
968347,"1,2,3,4,5,6",I am a 42-year-old man. I was born in Iran. I am a Waiter and waitresse. I made $122.4K last year. I drive to work. I leave for work at around 2:35 PM. It takes me about 5 minutes to get to work.,I live with 5 female roommates.,"We live in the New York-Newark-Jersey City, NY-NJ area. We live in a house built before 1939 with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 4,400 - 4,499.",2: My female roommate is 79-year-old. She was born in Iran. She made $13.5K last year. | 3: My female roommate is 41-year-old. She was born in Turkey. She is a Stocker and order filler. She made $37.1K last year. she leaves for work at around 7:32 AM. It takes her about 5 minutes to get to work. | 4: My female roommate is 21-year-old. She was born in Turkey. She is a Retail salesperson. She made $25.8K last year. she leaves for work at around 11:05 AM. It takes her about 5 minutes to get to work. | 5: My female roommate is 20-year-old. She was born in Turkey. She is a Dining room and cafeteria attendant and bartender helper. She made $21.6K last year. she leaves for work at around 5:05 PM. It takes her about 5 minutes to get to work. | 6: My female roommate is 11-year-old. She was born in New York.
1074757,"1,2",I am a 68-year-old man. I was born in Ohio. I am a Courier and messenger. I made $33K last year. I studied Marketing and Marketing Research in college.,I live with my female partner.,"We live in the Mansfield, Ohio area. We live in a house built in the 1970s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,900 - 2,999.","2: My female partner is 63-year-old. She was born in Ohio. She is a Property, real estate, and community association manager. She made $22K last year."
768783,"1,2,3","I am a 61-year-old woman. I was born in Texas. I am a Bookkeeping, accounting, and auditing clerk. I made $94.5K last year. I drive to work. I leave for work at around 7:42 AM. It takes me about 15 minutes to get to work.",I live with my father-in-law and my male partner.,"We live in Mississippi. We live in a house built around 1990 with 4 bedrooms. We own our home. our annual property taxes are $ 2,500 - 2,599.",2: My male partner is 59-year-old. He is a veteran. He was born in Mississippi. He works as a Construction laborer. He made $25K last year. | 3: My father-in-law is 85-year-old. He is a veteran. He was born in Mississippi. He made $43K last year.
620076,"1,2",I am a 72-year-old woman. I was born in Massachusetts. I am a designer. I made $18K last year.,I live with my male partner.,"We live in the Portland-South Portland, Maine area. We live in a house built before 1939 with 3 bedrooms. We own our home. our annual property taxes are $6000 - 6999.",2: My male partner is 72-year-old. He was born in Wisconsin. He works as a assembler and fabricator. He made $26K last year. He studied Journalism.
336158,"1,2",I am a 38-year-old man. I was born in Florida. I am a Cashier. I made $15.1K last year. I drive to work. I leave for work at around 12:25 PM. It takes me about 20 minutes to get to work.,I live with my female roommate.,"We live in the Miami-Fort Lauderdale-West Palm Beach, Florida area. We live in a mobile home or trailer built in 2022 with 3 bedrooms. We own our home.",2: My female roommate is 45-year-old. She has trouble with her vision. She was born in Florida. she have been looking for work. She is a Retail supervisor. She made $200 last year.
374184,"1,2",I am a 67-year-old woman. I was born in District of Columbia. I am a Executive administrative assistant. I made $70K last year.,I live with my male partner.,"We live in the North Port-Bradenton-Sarasota, Florida area. We live in a house built in the 2010s with 3 bedrooms. We own our home. our annual property taxes are $ 2,800 - 2,899.",2: My male partner is 70-year-old. He was born in Illinois. He works as a Wholesale and manufacturing sales representative. He made $55K last year. He studied General Engineering.
831536,"1,2",I am a 39-year-old woman. I was born in Nevada. I am a assembler and fabricator. I made $45K last year. I studied Secondary Teacher Education in college. I drive to work. I leave for work at around 4:45 AM. It takes me about 45 minutes to get to work.,I live with my male partner.,"We live in the Reno, Nevada area. We live in a 2-family home built in the 1960s with 1 bedrooms. We rent.",2: My male partner is 41-year-old. He has trouble with his vision. He was born in Nevada. He works as a Bus and truck mechanics and diesel engine specialist. He did not have personal income last year.
1462323,"1,2,3,4",I am a 43-year-old woman. I was born in Thailand. I am a Administrative assistant. I made $175K last year. I studied Criminology in college. I drive to work. I leave for work at around 8:32 AM. It takes me about 15 minutes to get to work.,I live with my daughter and 2 female relatives.,"We live in the Seattle-Tacoma-Bellevue, Washington area. We live in a 3-4 family home built in the 1960s with 3 bedrooms. We rent.","2: My daughter is 9-year-old. She was born in Washington. | 3: My other relatives is 69-year-old. She was born in Vietnam. She is a Inspector, tester, sorter, sampler, and weigher. She made $44K last year. she leaves for work at around 7:32 AM. It takes her about 30 minutes to get to work. | 4: My other relatives is 55-year-old. She was born in Vietnam. She is a Retail salesperson. She made $3.8K last year."
997188,"1,2","I am a 63-year-old man. I was born in SOUTH AMERICA. I am a Transportation, storage, and distribution manager. I made $61.2K last year.",I live with my female roommate.,"We live in the Charlotte-Concord-Gastonia, NC-SC area. We live in a house built in the 1980s with 3 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.",2: My female roommate is 61-year-old. She was born in SOUTH AMERICA. She is a Nursing assistant. She did not have personal income last year. She studied Nursing.
753742,"1,2",I am a 54-year-old woman. I moved from a different state last year. I was born in Minnesota. I have been looking for work. I am a First-line supervisor of office and administrative support worker. I made $17.7K last year. I studied Health and Medical Administrative Services in college.,I live with my father.,"We live in the Minneapolis-St. Paul-Bloomington, MN-WI area. We live in a attached house built in the 2000s with 3 bedrooms. We rent.",2: My father is 76-year-old. He was born in Minnesota. He works as a Cashier. He made $51.3K last year.
326772,"1,2,3,4,5,6",I am a 48-year-old woman. I moved last year. I was born in Florida. I am a Construction laborer. I made $55.2K last year. I drive to work. I leave for work at around 11:05 AM. It takes me about 24 minutes to get to work.,"I live with 2 grandsons and my granddaughter, my male partner, and another female relative.","We live in the Pensacola-Ferry Pass-Brent, Florida area. We live in a house built in the 2000s with 4 bedrooms. We rent.",2: My male partner is 57-year-old. He was born in Alabama. He works as a truck driver. He made $72K last year. he leaves for work at around 6:17 AM. It takes him about 20 minutes to get to work. | 3: My grandson is 9-year-old. He was born in Mississippi. | 4: My grandson is 6-year-old. He was born in Florida. | 5: My granddaughter is 5-year-old. She was born in Florida. | 6: My other relatives is 38-year-old. She was born in Alabama. She is a Cashier. She made $17.4K last year.
1310910,"1,2,3",I am a 66-year-old woman. I was born in Colorado. I am a Executive administrative assistant. I made $94.7K last year. I studied Agriculture Production and Management in college. I drive to work. I leave for work at around 6:17 AM. It takes me about 20 minutes to get to work.,I live with my male partner and another male non-relative.,"We live in the Dallas-Fort Worth-Arlington, Texas area. We live in a house built in the 1970s with 3 bedrooms. We own our home. our annual property taxes are $ 4,000 - 4,099.","2: My male partner is 58-year-old. He was born in Louisiana. He works as a Industrial engineer, including health and safety. He made $175K last year. He studied Electrical Engineering. he leaves for work at around 4:45 AM. It takes him about 15 minutes to get to work. | 3: My other non-relatives is 58-year-old. He was born in Louisiana. He works as a truck driver. He made $80K last year. He studied Psychology. he leaves for work at around 6:17 AM. It takes him about 60 minutes to get to work."
1527761,"1,2",I am a 68-year-old woman. I was born in Ohio. I am a Public relations and fundraising manager. I made $90.3K last year. I studied Journalism in college.,I live with my male partner.,"We live in Wisconsin. We live in a house built in 2021 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,500 - 3,599.",2: My male partner is 66-year-old. He was born in California. He works as a General and operations manager. He made $50.1K last year.
872365,"1,2,3",I am a 72-year-old woman. I have trouble with my vision. I was born in New Jersey. I made $44.1K last year.,I live with my daughter and my male roommate.,"We live in New Jersey. We live in a house built in the 1980s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,300 - 3,399.","2: My daughter is 50-year-old. She has trouble with her vision. She was born in New Jersey. she have been looking for work. She is a Unemployed, with no work experience in the last 5 years or earlier or never worked. She made $500 last year. | 3: My male roommate is 65-year-old. He was born in New Jersey. He works as a truck driver. He made $4K last year. he leaves for work at around 1:05 PM. It takes him about 60 minutes to get to work."
719564,"1,2",I am a 43-year-old man. I was born in Michigan. I am a Computer occupation. I made $42K last year. I studied Computer Information Management and Security in college. I drive to work. I leave for work at around 9:02 AM. It takes me about 28 minutes to get to work.,I live with another female non-relative.,We live in Michigan. We live in a house built in the 1940s with 3 bedrooms. We rent.,2: My other non-relatives is 30-year-old. She was born in SOUTH AMERICA. She is a Pharmacy technician. She made $24.8K last year. She studied Language and Drama Education. she leaves for work at around 9:02 AM. It takes her about 28 minutes to get to work.
834341,"1,2","I am a 89-year-old woman. I moved from a different state last year. I was born in Japan. I am a Bookkeeping, accounting, and auditing clerk. I made $3.4K last year.",I live with my sister.,"We live in the Las Vegas-Henderson-North Las Vegas, Nevada area. We live in a attached house built in the 2000s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,000 - 2,099.",2: My sister is 72-year-old. She was born in Korea. She is a Sales worker. She made $11.2K last year.
1383696,"1,2",I am a 68-year-old man. I was born in Illinois. I am a Carpenter. I made $44.5K last year. I drive to work. I leave for work at around 7:17 AM. It takes me about 45 minutes to get to work.,I live with my female partner.,"We live in the San Antonio-New Braunfels, Texas area. We live in a house built around 1990 with 3 bedrooms. We own our home. our annual property taxes are $5500 - 5999.",2: My female partner is 59-year-old. She is a veteran. She was born in Puerto Rico. She is a Carpenter. She made $13.6K last year. she leaves for work at around 7:17 AM. It takes her about 45 minutes to get to work.
1042127,"1,2,3",I am a 63-year-old woman. I was born in North Dakota. I am a Massage therapist. I made $27K last year. I work from home.,I live with my male partner and my female roommate.,We live in North Dakota. We live in a house built in the 1970s with 5 bedrooms. We own our home. our annual property taxes are $5500 - 5999.,2: My male partner is 69-year-old. He was born in Montana. He works as a Bus and truck mechanics and diesel engine specialist. He made $29.7K last year. | 3: My female roommate is 61-year-old. She was born in North Dakota. She is a Billing and posting clerk. She made $39K last year. she leaves for work at around 8:02 AM. It takes her about 3 minutes to get to work.
553564,"1,2,3,4,5,6,7",I am a 38-year-old woman. I was born in California. I have been looking for work. I am a Teaching assistant. I made $42K last year.,"I live with 3 sons and my daughter, my stepson, and my male partner.",We live in Iowa. We live in a house built in the 1950s with 4 bedrooms. We own our home. our annual property taxes are $ 650 - 699.,2: My male partner is 36-year-old. He was born in Iowa. He works as a Automotive service technician and mechanic. He did not have personal income last year. | 3: My son is 15-year-old. He was born in Iowa. He did not have personal income last year. | 4: My son is 14-year-old. He was born in Iowa. | 5: My daughter is 12-year-old. She was born in Iowa. | 6: My son is 10-year-old. He was born in Iowa. | 7: My stepson is 14-year-old. He was born in Iowa.
485463,"1,2,3",I am a 78-year-old man. I am a veteran. I was born in Illinois. I made $29K last year.,I live with my brother and my female partner.,"We live in Illinois. We live in a house built in the 1980s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,200 - 3,299.","2: My female partner is 69-year-old. She was born in Wisconsin. She made $29K last year. | 3: My brother is 55-year-old. He was born in Wisconsin. He works as a Bus driver, transit and intercity. He did not have personal income last year."
